head,relation,tail,noise
"let's have paid family leave, earned sick days",support,i want us to do more to support people who are struggling to balance family and work,0
we can lead nato if we're willing to take a hard stand,said in,02-10-2008,0
it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism,support,i have no quarrel whatsoever with the things that have been done,0
the soviets are more likely to make a deal,said in,11-10-1984,0
we want to reform the medicare system to make certain the benefits are there for our senior citizens,is a,premise,0
we've seen over and over and over the misjudgments made by this administration,said in,05-10-2004,0
"today, it's close to 30, or at least 27 or 28%",said in,09-10-1996,0
the lack of hope for the future,is a,claim,0
it ranks behind 15 other nations when we come to life expectancy and 22 other nations when we come to infant mortality,support,we don't have the best,0
that would not involve committing u.s. troops,said in,05-10-2000,0
"i will give middle-class americans tax cuts, meaningful ones",support,i promise you i will keep mine,0
i have far more experience than many others that sought the office of vice president of this country,support,i will be prepared to do that,0
that also means that you've got more customers,is a,premise,0
we've mobilized sanctions against that government,is a,claim,0
"he said a while back that the big problem with energy is that for 30 years, politicians in washington haven't done anything",support,it's easy to talk about this stuff during a campaign,0
i certainly don't want to go back to the policies of the last four years,support,it hasn't worked,0
you're never going to add to the coalition with that kind of attitude,support,that is not the way to win friends and allies,0
these are two individuals who have been for the war when the headlines were good and against it when their poll ratings were bad,said in,05-10-2004,0
there is no way you can be strong militarily and have those kind of reductions in our military uh - appropriation,is a,claim,0
we're using that $500 million to further reduce the deficit,is a,claim,0
everybody ought to be in this thing,is a,claim,0
they appropriate every dime and tell us how to spend every dime,is a,claim,0
we're doing our duty to provide the funding,is a,premise,0
i think it could be a more powerful country,said in,26-09-1960,0
"i've been president for 4 years, so i feel i've been talking issues",support,my record on world affairs is pretty well known,0
"governor, i'm not",said in,17-10-2000,0
you've got every rich middle eastern country over there trying to buy nuclear weapons,said in,11-10-1992,0
your good friends like bill bennett and others of us who had admired your firmness of purpose over the years have felt that you're not quite the crusader for that cause that you once were,is a,claim,0
i'd be honored and humbled,said in,15-10-2008,0
for the last ten years the budget of the united states has grown from uh - about 11 percent per year,support,we can't afford that kind of growth in federal spending,0
jerry falwell announces that that means they get at least two justices of the supreme court,support,i think that's an abuse of faith in our country,0
they make it completely illegal under any of those circumstances,is a,claim,0
we're ahead of our six-year schedule,support,"we've already got 20,000 out there",0
it's pretty certain that the russians are gonna do everything they possibly can after tito dies to force yugoslavia back into the soviet camp,is a,claim,0
i think the governor's instinct is not necessarily bad,attack,i think we need to be very careful in the present situation before we invite the russians to play the lead role in mediating,0
i've proposed a plan that can capture it and contain it and clean it within four years,said in,08-10-2004,0
look at manufacturing,is a,claim,0
if we have the discipline to increase investment and reduce the debt at the same time,is a,claim,0
they scare millions of senior citizens who are totally dependent on social security,is a,premise,0
"it requires a different kind of leadership style to do it, though",said in,17-10-2000,0
"he's moved 17,000 people off the welfare rolls and on to payrolls",is a,premise,0
balance the budget and cut taxes,is a,claim,0
it is not a government takeover,is a,claim,0
this is exactly the kind of track record we've seen over the years,is a,claim,0
while it's gone up about the rest of the nation,support,he's taken it down some four percent in the high schools of that state,0
i would say that the concept of the dukakis family has my great respect,is a,premise,0
i want to get america and north america energy independent so we can create those jobs,is a,premise,0
just like those young people who re-enlisted in baghdad,support,i know what thatâ€™s like when an army is defeated,0
"as long as a woman or man wants to go to work it ought to be their choice, but in america today that woman or man must work in a family to, one to pay the tax and the other to help the family",is a,claim,0
he says we ought to have a summit,is a,claim,0
it's your values,said in,25-09-1988,0
"i really think that marginal operators are going to go say, ""we can't make it.""",said in,25-09-1988,0
bring together the democrats and republicans,said in,29-09-2020,0
"protect medicare, medicaid, education and the environment",is a,claim,0
those stem- cells lines already existed,is a,claim,0
i believe that we should not compare what our figures may be to india or some other country that has serious problems but to remember that we are the most prosperous country in the world and that these people are not getting adequate food they're not getting in many cases adequate shelter,attack,"we're the best fed; we're the best clothed, with a better distribution of this world's goods to all of our people than any people in history",0
saddam hussein is probably better off than he was four years ago,said in,06-10-1996,0
"i traveled all over the world looking at the effects of greenhouse gas emissions, joe lieberman and i",said in,07-10-2008,0
"i think this idea that has been spawned here in our country that inflation somehow came upon us like a plague and therefore it's uncontrollable and no one can do anything about it, is entirely spurious and it's dangerous to say this to the people",is a,claim,0
when are you going to stop using our tax dollars to shut down american factories and move 'em to foreign countries and throw americans out of work?,said in,13-10-1992,0
it says to you as a taxpayer -- say you're going to pay a tax of 1000 bucks or something,said in,15-10-1992,0
that's what's right in america: help workers to transition in every respect,said in,13-10-2004,0
is that the kind of leadership we need?,is a,premise,0
"when the secretary general kofi annan offered the united nations, he said, ""no, no, we'll go do this alone.""",said in,30-09-2004,0
unfortunately that's sometimes where those steps lead,said in,02-10-2008,0
they are the ones who didn't get any relief the first time around,said in,07-10-1984,0
by reaching out to the muslim world,support,i have a better plan to be able to fight the war on terror,0
what i cared about is could we work together,is a,claim,0
undermined the moral authority of our people and our country in the region,support,i object to the covert action in nicaragua,0
we have the technology to do it and we ought to do it,said in,05-10-2000,0
i don't know those people,support,i believe it was her campaign that did it,0
"we should sustain uh - the department of justice in its efforts and the f.b.i.,",is a,claim,0
if guilt is established,said in,21-10-1984,0
take our allies with us,support,"ladies and gentleman, he gave you a speech and told you he'd plan carefully",0
almost enough to buy a squadron of 716s,support,we were finally able to put that into effect and we saved over a quarter of a billion dollars this year,0
we've got seven and a half million people out of jobs,said in,22-10-1976,0
"i opposed that we should turn -- turn the force in somalia from a peacekeeping force into a peacemaking force, which they were not capable of",is a,claim,0
it matters,said in,19-10-2016,0
that creates about 4 million jobs,said in,03-10-2012,0
"george bush vetoed the enterprise zone law, the law that included them",said in,13-10-1992,0
increasing domestic production and off-shore drilling,said in,26-09-2008,0
that's not what i think,attack,my opponent thinks the government -- the surplus is the government's money,0
that's not wishy-washy,is a,claim,0
"a commission to investigate 9/11, and find out what happened, and fix it",said in,26-09-2008,0
"we have thumbprint, fingerprint technology today",said in,13-10-2004,0
some schools aren't safe,is a,premise,0
i don't want to hear them,is a,claim,0
now looking at senator kennedy's credentials: he is suggesting that he will move america faster and further than i will,is a,claim,0
he has a responsibility to be accurate,is a,claim,0
we've gotta change that,is a,premise,0
i don't consider abortion a religious issue,is a,claim,0
that was their idea,is a,premise,0
"if we drill off-shore and exploit a lot of these reserves, it will help, at temporarily, relieve our energy requirements",said in,26-09-2008,0
i have a plan for doing that,support,"we've got to get costs down, increase value, emphasize wellness",0
"i believe the people of this country can, and together, we can begin the world over again",is a,claim,0
he really didn't have a new economic program until over 1300 days into his presidency,is a,claim,0
so it's a good it's a good start,is a,claim,0
"mr. president, you're batting 0 for 2",said in,08-10-2004,0
"what can we do to intervene, to make sure that young people have opportunity",support,"that if there's violence on the streets, that working with faith groups and law enforcement, we can catch it before it gets out of control",0
it's a threat to the stability of the entire middle east,said in,07-10-2008,0
they have not had a trade policy,support,we've seen an administration that has lost much of our market abroad,0
it will help change the world,is a,claim,0
he's coming right after you just like jimmy carter did,is a,claim,0
"we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of israel",is a,claim,0
i have had a chance to work with him and alan greenspan and others on the crisis following the collapse of the mexican peso,support,"it started for me in the last eight years when i had the honor of casting the tie-breaking vote to end the old economic plan here at home and put into place a new economic plan that has helped us to make some progress, 22 million new jobs, the greatest prosperity ever",0
they delivered,said in,11-10-1984,0
for that to happen,support,we have to strengthen our economy here at home,0
it's indicative of a broader problem,said in,11-10-2012,0
democracies are our partners,is a,claim,0
they plot,said in,08-10-2004,0
i have been for border security for years,said in,19-10-2016,0
never will we be exploited and taken advantage of again by those who are managing our money and loaning us these dollars,support,we need to make sure that we demand from the federal government strict oversight of those entities in charge of our investments and our savings,0
i suggested that if the united states felt that it could save the summit conference that it would have been proper for us to have expressed regrets,said in,07-10-1960,0
in the short-term we have to free ourselves from the domination of the big oil companies that have the ability to manipulate the price from opec when they want to raise the price,support,"my plan has not only a short-term component, but also a long-term component",0
that matters,is a,claim,0
we have to work closely with our allies to make sure that they're working with us and we with them and we can give no quarter when it comes to breaking the back of international terrorism,said in,25-09-1988,0
you in turn have voted against them time and time again,support,that's what i've seen you do in this administration,0
for 15 years the soviet union has been preparing to meet the b - 1,is a,premise,0
i just left detroit,said in,26-09-2016,0
families and the children as well,support,al gore and i are committed to closing that gap and achieving that equality,0
your running mate voted for that,support,"in that energy plan that obama voted for, that's what gave those oil companies those big tax breaks",0
those are the kinds of things that will really boost the economy,is a,premise,0
america must be able to grow enough not only to take care of our needs at home for better education and housing and health - all these things we want,is a,claim,0
they were a legitimate effort to help people make the most of their own lives,said in,06-10-1996,0
i think is very important for us to let them assume more and more of the burden and for us to bring that money back here and rebuild our infrastructure,said in,11-10-1992,0
we've got to provide the adequate medical care,said in,05-10-2004,0
capital gains are going to continue to be at a low rate,said in,16-10-2012,0
"when youâ€™re a senior official in the federal government spending billions of dollars in taxpayerâ€™s money and youâ€™re a mature individual and you make a mistake, then that was on our ticket",said in,11-10-1992,0
"and just inevitably, they're going to be reluctant to hire hispanics or people with a different accent",support,"before this fight is over we're going to come up with a better bill, a more effective bill that does not undermine the liberties of our people",0
"meanwhile, while iran is moving toward nuclear weapons, some 37 tons of what they called yellow cake, the stuff they use to make enriched uranium, while they're doing that, north korea has moved from one bomb maybe, maybe, to four to seven bombs",support,"for two years, the president didn't even engage with north korea, did nothing at all, while it was growing more dangerous, despite the warnings of former secretary of defense william perry, who negotiated getting television cameras and inspectors into that reactor",0
i think one of the big issues here that doesn't get nearly enough attention is the issue of corruption,is a,claim,0
we've had four years and there's no enterprise zone,is a,claim,0
this heroes act has been sitting there,said in,22-10-2020,0
i pledge to you i will do whatever is necessary to make sure that it stays that way,support,right now our military is the strongest in the entire history of the world,0
i voted for it,said in,13-10-1960,0
"i looked into his eyes and saw three letters, a k, a g and a b",said in,07-10-2008,0
"as we look at the quality-of-life programs - jobs, health, education, crime, recreation - we feel that as we move forward with a healthier economy, we can absorb the small necessary cost that will be required",support,we feel that uh - in education we can have a slight increase - not a major increase,0
"in return, get one-fifth of the benefits, because most of the tax reductions go to the people at the bottom end of the economic ladder",support,that's simply not true what he just said that we spent -- the top 1% receive 223 as opposed to 445 billion in new spending,0
"saudi arabia, nothing but money",said in,19-10-2016,0
"i've met them in appleton, wisconsin",support,"i met a young woman in -- in philadelphia who's coming out of -- out of college, can't find work",0
they had known each other before,said in,13-10-1992,0
so there's less rotation,is a,premise,0
"where it's been done, those schools, like in rochester, those schools that weren't chosen find that they then compete and do better",said in,15-10-1992,0
"we've got to move ahead with the strategic arms negotiation process, with the comprehensive test ban treaty and with negotiations leading to conventional force reduction in europe with deeper cuts on the soviet side and senator bentsen",is a,claim,0
this economy is not growing fast enough and it will under bob dole and jack kemp,said in,09-10-1996,0
it's just a giveaway,support,we need to eliminate a whole host of programs that don't work,0
we uh - have got to do that at the federal government level,is a,premise,0
the best america doesn't leave some of its citizens behind,is a,claim,0
i think it's going to be difficult,attack,i'm confident that this country can meet its responsibilities,0
"ireland, it's 11 percent",is a,claim,0
i just told you about this manufacturing job loss which is going to increase,support,that's not true,0
"if we can prevent them from importing the gasoline that they need and the refined petroleum products, that starts changing their cost-benefit analysis",said in,07-10-2008,0
not vetoing family planning legislation the way george bush has consistently done,is a,claim,0
we did not go as a last resort,support,he misled the american people when he said we'd go to war as a last resort,0
i will fight until it becomes law,is a,claim,0
"if president brezhnev said, we will scrap this treaty, negotiated under three american presidents over a seven-year period of time, we insist upon nuclear superiority as a basis for future negotiations, and we believe that the launching of a nuclear arms race is a good basis for future negotiations, it's obvious that i, as president, and all americans, would reject such a proposition",is a,premise,0
freedom took hold in that part of the world,is a,claim,0
"i'm not going to, and we haven't",is a,premise,0
that is a tremendous life-saving change which will help people carry on their education,is a,premise,0
"when you've got seven and a half, eight million people out of work",is a,premise,0
there's mostly public housing,said in,09-10-1996,0
"the way i view it is there's a lot of entrenched special interests there, people who are, you know, on one side of the issue or another",is a,claim,0
"we tried to build a little ship called the littoral combat ship that was supposed to cost $140 million, ended up costing $400 million",is a,claim,0
also the energy of the future,support,making sure that we are controlling our own energy,0
hillary clinton went to russia to try and convince them not to do so,is a,claim,0
african-american incomes went up 33 percent,is a,claim,0
make the decisions and the judgments that are necessary,support,"i have not made it an issue, nor should it be",0
we want to do is commit more forces anywhere,support,"what i want the president to do, and i think he may have done it, his last statement, call for an unconditional end of the violence",0
these are the ways that we can restore the strength of our country,is a,claim,0
it's an implication that republicans have been trigger-happy,is a,claim,0
no discrimination in america,is a,claim,0
i think governor romney's going to have a busy first day,attack,"as president, i will sit on day one -- actually, the day after i get elected -- i'll sit down with leaders -- the democratic leaders, as well as republican leaders, and continue -- as we did in my state",0
"then finally, our government passes laws and freezes the plan in concrete",is a,claim,0
didn't get it done,said in,16-10-1996,0
that's what i want to do,support,we need to invest and grow,0
"worse than that, when you add on the other spending programs that our opponents have committed to, plus the cost of their plan to privatize social security, by our calculations they're $1.1 trillion in debt",said in,05-10-2000,0
"a young man is out there on a $1 billion carrier in charge of the maintenance of a $20 million aircraft, working 100 hours a week at times, and he's earning less for himself and his family, while he's away from his family, than he could earn if he were in one of the most menial jobs, working 40 hours a week here at home",is a,premise,0
i'm always responsible,support,nobody's more interested in finding out exactly what happened than i do,0
i have been critical of some of the previous agreements,said in,28-10-1980,0
sometimes the views have been distorted,support,there's been millions and millions of dollars of negative advertising spent distorting my views,0
less than 5 percent of the contras supported somoza,is a,premise,0
a 50 percent increase,said in,16-10-1996,0
it's a national problem,said in,16-10-1996,0
i have no businesses there,is a,claim,0
i have roundly condemned those acts,is a,premise,0
many economists are predicting that we're moving into a period of very slow growth,support,this is the worst trade year in american history by far,0
i'm against removing dams in the northwest,said in,03-10-2000,0
"we have in -- in egypt, a muslim brotherhood president",is a,claim,0
we are playing the leadership role,is a,premise,0
"i believe that conservation, at course, is worthy in and of itself",said in,21-09-1980,0
"this is a man who, in fact, you talk about helping african-americans, one in 1000 african americans has been killed because of the coronavirus",said in,29-09-2020,0
we have presided over the largest increase,support,we've got to have a new direction for this country,0
they invited the lobbyists for the biggest polluters in america to come into the congress and literally rewrite the clean water act and the clean air act,said in,09-10-1996,0
"we were able to refocus our attention on not only the terrorist threat, but also beginning a transition process in afghanistan",said in,22-10-2012,0
another one powerful is the worst deal i think i've ever seen negotiated that you started is the iran deal,is a,claim,0
we both support nondiscrimination in housing and integration of neighborhoods,attack,"i think that's been something that's been handled by the courts, and not being handled by congress and will not be handled by the white house",0
in almost every category they're lagging,support,"if i make a mistake, i admit it. that's quite different than some",0
she’ll always allow it,said in,09-10-2016,0
i can prove it,support,senator obama has spent more money on negative ads than any political campaign in history,0
a lot of kids are expressing their concerns,support,"there’s a lot of fear—in fact, teachers and parents are calling it the trump effect",0
"he gave specifics of what he was going to cut, number one, in terms of tax expenditures",support,i was there when ronald reagan tax breaks,0
perhaps the vice president can explain what he was doing when he supported the trading of arms to terrorist nation,said in,25-09-1988,0
works it out with them,said in,13-10-1988,0
we have 4 million people on medicare advantage that will lose medicare advantage,said in,03-10-2012,0
i think we should try to raise the fuel efficiency,is a,claim,0
more people qualify for them,is a,claim,0
we should get involved,is a,premise,0
i'm asking for your vote,said in,03-10-2000,0
it is true over 10 years ago i voted to delay production of the f - 14,is a,premise,0
time is our friend there,is a,premise,0
unless there was a severe recession larger than in any administration in the history of the united states,attack,i believed in a balanced budget,0
we've worked hard to expand public school choice in my balanced budget bill,is a,premise,0
he has the right program to use the prosperity all the american people have earned to help particularly hard working middle-class families raise up their children to enjoy a better life,support,as vice president i think he's been the most effective vice president in the history of the united states,0
gerald ford left a five-year projected plan for a military build-up to restore our defenses,is a,claim,0
"now, the tax relief that i propose is directed specifically at middle-income individuals and families",said in,17-10-2000,0
it is (inaudible) he will knock 19 million people off of medicare,is a,claim,0
"so that with buses and light rail, we can replace the private automobile in those places where it clearly is not energy-efficient",said in,21-09-1980,0
"after that, once again, our embassy was exploded",is a,premise,0
"and such a reckless, reckless comment and untrue comment, again, hurts our cause",is a,premise,0
"and what we're not going to also hold up on, gwen, is we cannot afford to hold up on providing for incentives for new jobs by an energy policy, creating new jobs",said in,02-10-2008,0
senator obama has $800 billion in new spending programs,is a,premise,0
"medical care for the aged, i would put under social security",is a,claim,0
we ought to be promoting the democratic impulses around the world,is a,premise,0
it's the most successful thing we've ever done,support,we have a big program in my state that teaches mothers or fathers to teach their kids to get ready for school,0
the first half of '84 it's up 8\1/2\ percent,is a,premise,0
they oppose mine,said in,03-10-2000,0
i'd have confidence in him,said in,13-10-1988,0
"he has exhibited most aggressive behavior, obviously, in georgia",said in,07-10-2008,0
that state we controlled spending,support,we cut the rate of increase in spending in half,0
what we don't want to do is give our allies reason to trust us less and our enemies more,support,what any administration will do in 2013 is assess the situation to see how best to complete this timeline,0
"my plan also says it requires a new approach in washington, d.c",support,"i know it will require a different kind of leader to go to washington to say to both republicans and democrats, let's come together",0
senator gore's mentor had disagree with some of the scientific data that is in his book,is a,premise,0
i have a feeling how they came,is a,claim,0
the way you kill expansions is to raise taxes,said in,13-10-1988,0
"we have to fight for our freedoms, also, economic and our national security freedoms",said in,02-10-2008,0
they want to bury our economy under a $2 trillion green new deal,is a,premise,0
we were still deeply involved in the problems of vietnam,is a,claim,0
it's the quality of the people you pick,said in,25-09-1988,0
"the president went, the first thing he did when he came into office was make a proposal on the most destabilizing weapons of all, start",is a,premise,0
we need to do better in terms of stimulating private business,is a,claim,0
that's what we've been doing ever since i announced to the british parliament that i thought we should do this,support,i was glad to hear him say that,0
we're now at under 285,support,we're headed down to the low 200s if we go through a sequestration,0
it's time to change the school's structure,said in,13-10-1992,0
i think the choice should be with human rights,is a,claim,0
it won't be painless,equivalent,it won't be painless,0
you want to be able to say that the americans are taking 90 percent of the sacrifice,is a,claim,0
the judgment to know when our national security is not only at risk,is a,claim,0
the first thing we did was to streamline the legal immigration system,said in,16-10-2012,0
we have access to facilities in five different areas of that region,support,we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world,0
governor rockefeller says five per cent,support,the last eight years the average growth has been about two and a half per cent,0
"we've been on a very constructive course in the middle east, played an unusual, unique role",is a,premise,0
and we were succeeding,said in,21-10-1984,0
i deal with them all the time,is a,premise,0
"in spite of the economic problems, we're the most respected economy around the world",support,"this country is not coming apart at the seams, for heaven's sakes",0
"we drew 22,000 troops down last month",support,that makes them less safe,0
"and now, of course, the euro's value has been dropping, but seems to be under control",said in,03-10-2000,0
that'll simply price us out of the international market,support,let's not go back to that-what they call supply management and production control,0
that is one of the major challenges and major undertakings that i will assume as the next president,said in,06-10-1976,0
"if we have osama bin laden in our sights and the pakistani government is unable or unwilling to take them out, then i think that we have to act and we will take them out",said in,07-10-2008,0
that includes oil,support,it includes everything within the range of taxation,0
i know a lot of people whose plants have been strengthened by increasing exports,is a,premise,0
it would be a federal law preventing that,is a,premise,0
they were already having a tough time,is a,claim,0
he was not here to respond,said in,21-09-1980,0
as far as participating in the shaping of uh - concepts and commitments,support,we are weak,0
the president blocked you from the right to have less expensive drugs from canada,is a,claim,0
"for the last two years, we have had middle-income tax cuts on the table in the congress and they would not -- they weren't accepted by bob dole and newt gingrich",is a,claim,0
it's a different world now,is a,premise,0
"if i'm poor and you're rich, and i can get you to defend me, that's good",said in,11-10-1992,0
"the president wants it, but we can't get it",said in,15-10-1992,0
our policy over the last eight years has not worked,said in,26-09-2008,0
you'll find a tort reform plan,said in,08-10-2004,0
look where it has gotten us,is a,premise,0
it still hasn't been submitted to congress in the form of legislation,said in,13-10-1992,0
that's the afghan responsibility,is a,premise,0
"crime has come down the last 2 years, for the first time in many, many decades that it has come down -- or since we've kept records -- 2 consecutive years, and last year it came down the biggest drop in crime that we've had",is a,claim,0
"it wasn't until former secretary of state jim baker and general scowcroft and others pushed publicly and said you've got to go to the u.n., that the president finally changed his mind -- his campaign has a word for that -- and went to the united nations",is a,claim,0
one of those ideas was to repeal the minimum wage,support,this is a heartless kind of approach to the working families of our country,0
"i trust women to make the decisions that affect their lives, their destinies and their bodies",support,i think a woman's right to choose ought to be protected and defended,0
i'm not running for the presidency because i believe that i can solve the problems we've discussed tonight,said in,21-09-1980,0
"he's been the head of the committee on government contracts that's carried out two cases, both in the district of columbia",said in,07-10-1960,0
best help for short term is job retraining,is a,premise,0
"in my view, the constitution ought to be interpreted as a document that grows with our country and our history",said in,03-10-2000,0
"by coming over here, and making investments in this country, we are seeing jobs",support,"i would rather have people come over here and to make investments in this country, rather than going elsewhere",0
what you did instead was to push through a plan without a single republican vote,said in,03-10-2012,0
i'm not in favor of energy taxes,is a,premise,0
the united states has to be strong in order to make sure that we can help promote peace and security and stability,is a,premise,0
the governor was for a nuclear freeze that would have locked in a thousand soviet intermediate nuclear force weapons and zero for the west,is a,claim,0
he said he's going to have a novel health care plan,attack,it's the largest increase in federal government health care ever,0
"if the united states had not moved when we did in southern africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world",said in,06-10-1976,0
it's not just enough to have the guarantee,is a,premise,0
the president reneged on his promise to fund no child left behind,is a,claim,0
"i was very pleased that uh - an overwhelming democratic united states senate, after going into his background, came to the conclusion that he was uh - fit and should serve, and the vote in his behalf was overwhelming",support,i selected him,0
i accept what the president has said,is a,claim,0
"we're not going into a recession in this country, economically",said in,07-10-1960,0
i think that's all wrong,said in,25-09-1988,0
"a line item veto that 43 governors in this country have, but not the president of the united states",is a,claim,0
the double-digit inflation,said in,07-10-1984,0
when you start rationing health care there's going to be a waiting line to see a doctor unless it's an emergency,said in,13-10-1992,0
they do not focus on terror,support,nato could be obsolete,0
you should pay attention to this campaign,said in,16-10-2012,0
i'll bring new competition to bring the price down,said in,17-10-2000,0
"as mayor, every year i was in office i did reduce taxes",is a,claim,0
if they just want to keep slow dancing and talk about it and not do it,support,i'm not your man,0
they are certainly in a better position to weather the extraordinary recession that we went through,is a,premise,0
i want to make sure that we make -- we make america more competitive,said in,22-10-2012,0
our government meets only four months out of every two years,support,our chips program got a late start,0
"john white has endorsed the economic aspects of our plan, even though i believe he was the architect of ross perot's economic plan",support,"under the details of our 5-year budget plan, we do propose more in defense cuts than george bush and dan quayle",0
i think we’re gonna win the house,equivalent,i think we’re going to win the house,0
to help make them more competitive,is a,claim,0
i decided to go there myself,support,"i went there hoping that, once and for all, the free world would act in concert to get saddam hussein to listen to our demands",0
that is what i call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the congress just to add on spending,said in,13-10-1988,0
"for 3\1/2\ years, this administration avoided arms control",support,and we have this arms race underway,0
the capital gains rate's too high,said in,16-10-1996,0
"it is not being able to be used because we are going to take every automobile driver in america, all 110 million automobiles, and charge them 17 or 20 or $25",is a,premise,0
"when they made that horrible deal with iran, they should have included the fact that they do something with respect to north korea",is a,claim,0
he called the arizona law a model for the nation,is a,premise,0
this is the america that i know and love,said in,09-10-2016,0
she tells you how to fight isis on her website,equivalent,she's telling us how to fight isis,0
i'm standing up to the issue with an answer that's fair,said in,07-10-1984,0
i will pay down the debt every single year until it is eliminated early in the next decade,said in,17-10-2000,0
i started off as a young lawyer working against discrimination against african-american children in schools and in the criminal justice system,said in,09-10-2016,0
"on day one, i will label them a currency manipulator, which allows us to apply tariffs where they're taking jobs",is a,claim,0
we can do better,support,i just believe it's time to change,0
i have devoted 24 years of my life to public service,said in,03-10-2000,0
it would be the largest increase in government health care ever,is a,premise,0
the president vetoed it both times,support,"we passed an area redevelopment bill far more effective than the bill the administration suggested, on two occasions",0
"we have taken the home page of my website, hillaryclinton.com, and we've turned it into a fact-checker",is a,premise,0
we think that's pretty good progress,is a,claim,0
that report is totally discredited,is a,claim,0
"the republicans in recent years - not only in the last twenty-five years, but in the last eight years - have opposed housing, opposed care for the aged, opposed federal aid to education, opposed minimum wage",said in,07-10-1960,0
they've got to understand that they're facing a very firm and determined united states of america that will defend our interests and that of other countries in the world,support,i think we can deal with them,0
"i think wherever we can cooperate with russia, that’s fine",is a,claim,0
this invites weakness,is a,premise,0
i propose more than twice as much,support,in my budget for the next ten years i propose $100 billion for this purpose,0
we're entitled because of the laws that people like her passed to take massive amounts of depreciation on other charges,is a,premise,0
the harm they inflicted on us with airplanes would be multiplied greatly by weapons of mass destruction,is a,premise,0
five cents a day - that's what the food package averages per person,support,i believe we should step up the use of our surplus foods in these areas until we're able to get the people back to work,0
i have voted in the last uh - eight years,is a,claim,0
i have advocated expansions of public school choice alternatives,is a,claim,0
we're free,said in,17-10-2000,0
"on medicare, it is not true that everyone knows how to fix it",said in,15-10-1992,0
then we should have congress vote up or down,support,what we have to do with medicare is have a commission,0
"i understand that both the - the uh - department of state and the defense department have approved the accuracy of today's report, or yesterday's report, and also the national security agency",is a,claim,0
they are strong,is a,claim,0
i did not think that that was the case,is a,premise,0
they seem to be simply retreads of the programs of the truman administration which preceded it,is a,claim,0
that would have been a perfect agreement from the standpoint of the united states in europe and our security,said in,21-10-1984,0
"if the wrong guy is put to death, then that's a double tragedy",is a,premise,0
you will sit down across the table from them and that will legitimize their illegal behavior,said in,26-09-2008,0
where you were on that day,is a,premise,0
millionaires and billionaires like him in the middle of the covid crisis have done very well,is a,claim,0
"we spent a lot of money and risked lives and lost lives in that effort, and did not accomplish most of our objectives",said in,19-10-1992,0
none of these things happened,is a,premise,0
we have more at stake in space satellites than they do,support,we have more to lose in space then they do,0
who realizes we have to abandon trickle-down economics,is a,claim,0
they sent them without the armored vehicles they needed,attack,he attacks us about the troops,0
"even though we have maintained, as i pointed out in our first debate, the absolute gap over the soviet union",is a,claim,0
so some may be better off,is a,claim,0
i really don't think you disagree with me on this,said in,26-09-2016,0
they are enduring,is a,claim,0
it was a - a tremendous success,support,i intend to do the same thing,0
and it's not what our nation needs to be able to count on,is a,claim,0
you don't get a rifle,said in,06-10-1996,0
"i have met met uh - decisions over eight hundred times on matters which affect not only the domestic security of the united states, but as a member of the senate foreign relations committee",is a,claim,0
"this wasn't a partisan victory that came suddenly, a few months after you took the oath of office",attack,george bush taking credit for the berlin wall coming down is like the rooster taking credit for the sunrise,0
"we don't want to overreact, as the federal regulators have in my judgment, on good banks so that they've created credit crunches",support,we have to enforce the law in 2 ways,0
"he has as a model for doing that a board of people at the government, an unelected board, appointed board, who are going to decide what kind of treatment you ought to have",is a,premise,0
that's not how a commander in chief acts,attack,"as the politics change, his positions change",0
certainly reasonable people can agree on how to reduce abortions in america,said in,08-10-2004,0
we can do better than this,said in,11-10-2012,0
"i remember a lady in houston, texas, told me, ""reading is the new civil right,"" and she's right",is a,claim,0
let's look at the vote on the congo,is a,premise,0
we must lead,equivalent,we must direct,0
we've got it in terms of an economy that's offering people opportunity and hope instead of despair,support,we've got a good record,0
it’s a disgrace,is a,claim,0
they already organized their retirement around these promises,said in,11-10-2012,0
i think it's time you take a stand,said in,19-10-2016,0
"he made it illegal, illegal for medicare to do what the v.a. does, which is bulk purchase drugs so that you can lower the price and get them out to you lower",is a,premise,0
i would like that to be taken care of anyway,said in,11-10-1984,0
most of the law enforcement agencies in america wanted that assault weapons ban,support,i believe america's less safe,0
the a.q. khan network has been brought to justice,is a,claim,0
"i think there's a great difference between the government of iran threatening our diplomatic personnel, and there is a government that you can see and can put your hand on",is a,premise,0
we need to deny them the safe havens,said in,30-09-2004,0
i would not,said in,30-09-2004,0
we did it in a way that we got the private sector to involve itself with the public sector on private industry councils throughout america that serve over the service delivery areas,is a,premise,0
no puppet,attack,he'd rather have a puppet as president of the united states,0
we're going to make the economic package work,said in,06-10-1996,0
i don't think there is even a race between the two,said in,06-10-1996,0
i think a lot of people deserve credit,is a,premise,0
"i'm not prepared to threaten it, as senator obama apparently wants to do",is a,premise,0
he's parsing words,is a,claim,0
john mccain thankfully has been one representing reform,attack,"is going to be resounding that our economy is hurting and the federal government has not provided the sound oversight that we need and that we deserve, and we need reform to that end",0
not as generous,is a,claim,0
