relation	head	tail
__label__Support	I recognize that taking Saddam Hussein out was unpopular	I made the decision because I thought it was in the right interests of our security
__label__Support	it really does get to what you're talking about	here's something that we can take great pride in
__label__Support	Saddam Hussein would be sitting on top of three-fifths of the oil supply of the world and he'd have nuclear weapons	we have a responsibility to lead and to guarantee the security
__label__Support	if they asked me to be part of some monitoring force -- as we are in the Sinai and have been since 1978 -- to monitor the peace between Egypt and Israel, frankly, I would have to think about it	My position has always been that the job of the United States was to minimize the risks of peace
__label__Support	take Russia, for example	Russia has to make the decision
__label__Support	You can't hire a lobbyist uh out of unemployment compensation checks	The average uh American person can't do it
__label__Support	No	No, it's not
__label__Support	He met with those party leaders every week	Mitt Romney was governor of Massachusetts, where 87 percent of the legislators he served, which were Democrats
__label__Support	I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully	What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country
__label__Support	That sense is something that I want to restore	What we are talking about is recognizing that the next president has to have a broader strategic vision about all the challenges that we face
__label__Support	I also have had the opportunity of knowing and meeting other Communist leaders in the world	I believe there are certain principles we must find in dealing with him and his colleagues - principles, if followed, that will keep the peace and that also can extend freedom
__label__Support	It's been a big failure	I opposed the grain embargo in my administration
__label__Support	She’s got bad judgment, and honestly, so bad that she should never be president of the United States	It’s a horrible thing she’s doing
__label__Support	we need to continue improving readiness and making sure that our military personnel are adequately paid and that the combination of their pay and their benefits and their retirement as veterans is comparable to the stiff competition that's coming in this strong economy from the private sector	that means keeping our military strong
__label__Support	he has the right program to use the prosperity all the American people have earned to help particularly hard working middle-class families raise up their children to enjoy a better life	As vice president I think he's been the most effective vice president in the history of the United States
__label__Support	I accept other people's points of view	I've been a person that had been called a uniter, not a divider
__label__Support	as long as they are not essential to the defense of Formosa	it's been my judgment ever since 1954, at the time of the Eisenhower Doctrine for the Far East, that our line should be drawn in the sea around the island itself
__label__Attack	if you take such an unbalanced approach, then that means you are going to be gutting our investments in schools and education	he said no
__label__Support	One is the Middle East	there are a number of areas in the world that are of importance to us
__label__Support	whether it's supporting religious minorities	the President of the United States and the United States of America has stood on the right side of history
__label__Support	I guess I rely more on the individual	I want to give power back to the states and back to the people
__label__Support	I believe that's the answer	What I will do is permit people to buy into Medicaid
__label__Equivalent	It's a time to draw ourselves together	It's a time for unity
__label__Support	The other party gives them lip service	I think it shows the difference between the two parties.
__label__Support	I think we can do better	I think that's wrong
__label__Support	If you don't know what you're supposed to know	we'll make sure you do early before it's too late
__label__Support	That's what he said the other day	Exaggerations like, for example, only 5% of seniors receive benefits under my Medicare reform package
__label__Support	not only oil and natural gas, which we've been investing in	we've got to make sure we're building the energy source of the future
__label__Support	I've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two.	I think you have heavy obligations which affect our security,
__label__Attack	We’re cutting taxes for the middle class.	Hillary Clinton is raising your taxes, folks
__label__Support	we cannot have religious or racial prejudice	we certainly cannot have it in a presidential campaign
__label__Support	You've got to reassert your ownership in this country	you've got to have a government that comes from you again
__label__Attack	not when somebody blows the whistle at the United Nations.	let's do it on our terms when our interests are involved
__label__Support	You should know as much as possible about each of us	tonight when we conclude this debate you will have a better understanding and the viewing and listening audience will have a better understanding
__label__Support	If we don’t win	we’ll have Obamacare
__label__Support	as Senator Clinton said in her debates with you, we need to know the full extent of that relationship	all of these things need to be examined, of course
__label__Support	Your 401K’s will go to hell	it’ll be a very, very sad day for this country
__label__Support	Will we have equal pay for women, which is going backwards?	The future of things that matter to you -- in terms of civil rights, what kind of Justice Department you'll have, whether we'll enforce the law
__label__Support	under President Johnson, in spite of the massive investment in the Vietnam War, he turned over a balanced budget to Mr. Nixon	The unemployment rate was less than 4 percent
__label__Attack	I worked hard to learn the subject of nuclear arms control and how we can diffuse these tensions and deal with non-proliferation and deal with the problems of terrorism and these new weapons of mass destruction	we're gonna face some serious new challenges in the next four years
__label__Support	I'm not going to be a picker and chooser	I'm not going to be the kind of president that says you get tax relief and you don't
__label__Support	The Commander-in-Chief was organizing demonstrations halfway around the world during another era	"How could you be Commander-in-Chief of the armed forces and have some kid say -- when you have to make a tough decision, as I did in Panama or Kuwait and then have some kid jump up and say, ""Well, I'm not going to go."
__label__Support	He broke that promise	He didn't do that
__label__Support	It's not about us so much as it is about you and your families and the kind of country and future you want	Donald's trying very hard to plant doubts about it, but I hope the people out there understand: This election's really up to you
__label__Support	to attempt to save the world	remove the nuclear weapons
__label__Support	in 1975 we had fewer housing starts in this country, fewer homes built, than any year since 1940	I don't blame him
__label__Support	It's who makes the decision, who makes this very difficult, very wrenching decision	I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision
__label__Support	90 percent of them are in the public schools	I simply think it's wrong to take money away from programs that are helping build basic skills for kids
__label__Attack	It hasn't worked	We're 9 million jobs short of that
__label__Support	there were some of us that stood up against it	Fannie and Freddie were the catalysts, the match that started this forest fire
__label__Support	We have a higher unemployment rate in this country than Great Britain, and West Germany	we, in this country, have let our economy go down the drain
__label__Support	who will lead to bring down that deficit	we need a chief executive who is prepared to lead
__label__Attack	We need to look back, even two years ago, and we need to be appreciative of John McCain's call for reform with Fannie Mae, with Freddie Mac, with the mortgage-lenders	there have been so many changes in the conditions of our economy in just even these past weeks that there has been more and more revelation made aware now to Americans about the corruption and the greed on Wall Street
__label__Support	In Lebanon, in the terror that happened at the embassy, you have the government there, Mr. Gemayel, that wants to help fight against terrorism	because of the melee in the Middle East, it's there today and has been there yesterday and the day before, and everyone that's had experience in that area knows
__label__Support	Mrs. Ferraro knows that, and how many troops they hav	In the mutual balance force reduction to reduce conventional forces, they're not even willing to tell us the base
__label__Support	it's fine to say that sometimes you have to hit base camps	since that action, terrorist action against the United States citizens have gone down
__label__Support	I’ve gone head to head with Putin and made it clear to him we’re not going to take any of his stuff.	He’s Putin’s puppy.
__label__Support	I know enough about your story to admire a lot of the things that you have done as a person	I believe him when he says that he has a good heart
__label__Support	It's between a woman, God and her doctor	I believe that choice is a woman's choice
__label__Attack	we didn't find out he didn't have weapons until we got there	my opponent thought he had weapons and told everybody he thought he had weapons
__label__Support	when you're talking about something like the death penalty	where Michael Dukakis and I do disagree, what you really ought to get to is what's being done against crime, and what kind of progress he's been able to make
__label__Support	We're not going to support the $300 billion tax cut that they have for corporate America and the very wealthy	we are going to, in fact, eliminate those wasteful spending that exist in the budget right now
__label__Attack	why did you ask the godfather of the grain embargo to be one of your top foreign policy advisers	if you were so opposed to the grain embargo
__label__Equivalent	I think it's experience at this level	I think one thing that distinguishes is experience
__label__Support	increase revenues to the Federal Government	please let's learn from history
__label__Attack	I have a plan to provide health care to all Americans	I believe we have a crisis here at home, a crisis of the middle class that is increasingly squeezed, health-care costs going up
__label__Support	all the committees, the attorney general, the special prosecutor, all of them have given me a clean bill of health	I think the matter is closed once and for all
__label__Support	I worry about federalizing education if I were you	One size does not fit all
__label__Support	They understand that a free Afghanistan or a free Iraq will be a major defeat for them	they're fighting freedom
__label__Equivalent	There is not.	There is not
__label__Support	Create jobs and opportunities	I think that's that's the thrust we will make
__label__Support	I repeat it today	We repeated that message when we went to Los Angeles
__label__Support	when the president announced the surge, you'll remember, Martha, he said the surge will be out by the end of the summer	Nothing political about this
__label__Support	the report to which Senator Kennedy refers is one that was made many, many months ago and related particularly to the uh - period immediately after Sputnik	the facts simply aren't as stated
__label__Equivalent	Got to be loyal to your friends	you gotta keep your word to your friends
__label__Support	he's going to pay for all the spending programs he proposes	we have a big difference on this trickle down theory
__label__Support	doesn't put a lot of inhibitions on it	I believe one of the first things ought to be to press a new Congress not beholden to the old ways to pass financial reform legislation that modernizes the banking system
__label__Support	for tough enforcement at the border	I am for reform in this area
__label__Support	They're all leaving	we're losing our good jobs, so many of them
__label__Attack	you didn't read it	I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas
__label__Support	I favor that rather than massive federal spending programs which will come into effect usually long after you've passed through the recessionary period	if we do get into a recessionary period we should move on that part of the economy which is represented by the private sector
__label__Support	We want to get rid of tax cuts for companies sending jobs overseas	We have a plan
__label__Attack	That was a disaster	We can deploy a half a billion more solar panels
__label__Attack	They were ignored	A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism
__label__Support	when it comes to public ethics, he has a responsibility	the President of the United States, the highest office in the world, the most important office in the world, has a responsibility to young people, as we talked about earlier
__label__Support	to trying to get something done about the genocide in -- that was going on in Bosnia	that's what I've done my whole career, Gwen, on very, very controversial issues
__label__Support	I kind of assumed that there would be a lot of these charges and claims	we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker
__label__Support	I will fight for your families	I will work every single day to make sure that America continues to be the greatest nation on earth
__label__Support	the Vice President and I came to the Congress together 1946;	our experience in uh - government is comparable.
__label__Support	not what's good for Main Street	we need it not just when there's a crisis
__label__Support	I never met Putin	Of course I condemn
__label__Support	in the middle of the Civil War, Abraham Lincoln said, let's help to finance the Transcontinental Railroad, let's start the National Academy of Sciences, let's start land grant colleges, because we want to give these gateways of opportunity for all Americans	if all Americans are getting opportunity, we're all going to be better off
__label__Support	when genocide is happening, when ethnic cleansing is happening somewhere around the world and we stand idly by, that diminishes us	we have moral issues at stake
__label__Support	the reality is it's not just wealthy people	It's all those businesses that employ one-quarter of the workers in America
__label__Support	I was in uh - thirty primaries in the spring, and uh - at first it was obvious that I didn't have any standing in the poll	the polls to me are interesting, but they don't determine, you know, my hopes or - or my despair
__label__Support	He tried to double the deductibles and give people less in return	he would wait until after the election to do it
__label__Support	I worked for the Children's Defense Fund	I think it's really an important issue
__label__Support	he never did it without the threat of force	The president needed the authority to use force in order to be able to get him to do something
__label__Support	I agree	I believe that -- that we ought to recognize the value to our children and grandchildren of taking steps that preserve the environment in a way that's good for them
__label__Attack	we're getting closer and closer to victory	We cannot afford to lose against al Qaeda and the Shia extremists who are still there, still fighting us
__label__Support	The Philippines -- we've got help -- we're helping them there to bring -- to bring Al Qaida affiliates to justice there	the front on this war is more than just one place
__label__Support	I can see why people think that he changes position quite often, because he does	I don't see how you can lead this country in a time of war, in a time of uncertainty, if you change your mind because of politics
__label__Support	the Congress should have uh - added another $10 billion reduction in personal income taxes, including the increase of personal exemptions from seven hundred and fifty to a thousand dollars	That tax bill does not entirely meet the criteria that I established
__label__Attack	Senator, you are no Jack Kennedy	I have as much experience in the Congress as Jack Kennedy did when he sought the presidency
__label__Support	Small businesses are flourishing	We're on the move
__label__Support	We want to reform the Medicare system to make certain the benefits are there for our senior citizens	Governor Bush and I want to pursue the new course
__label__Support	I have no loans with Russia	I have no loans from Russia
__label__Support	instead of part of their money being withheld, which is the way it's normally done	they've continued to get their money
__label__Equivalent	It's our whole lives	It's what we are
__label__Support	the strategic question that the president has to ask is not whether or not we are employing a particular approach in the country once we have made the decision to be there	We didn't have a difference on whether or not we were going to be funding troops
__label__Support	We believe in tough love	We're tough
__label__Support	This was a way of taking care of them.	We can’t do it
__label__Support	We invest.	The best America is yet to come
__label__Support	it's going to create jobs	When you cut capital gains, you put people to work.
__label__Support	we have to look for alternative sources of fuel	I don't think that that's a proper objective in trying to clean up this environment
__label__Support	we have our generals lined up, one in particular, that’s the head of logistics.	this is a very easy distribution for him
__label__Attack	Senator Obama has voted 94 times to either increase your taxes or against tax cuts	he came to the Senate and never once proposed legislation to do that
__label__Support	$13 trillion in family wealth was wiped out	That was a terrible time for our country
__label__Support	we did factor in our own ideas with regard to increases in the projected military spending that we believe would, over a period of time, do what is necessary	we did cut the increase in spending in half
__label__Support	I'm going to reverse that	reinstating what President Bush took away, which is called pay as you go
__label__Support	The tax code should reflect our values in a Judeo-Christian sense, that work, honesty and integrity and contracts and property and investment and savings should be rewarded	Bob Dole and Jack Kemp are not only going to cut the tax rates across the board and lower the Capital Gain Tax
__label__Support	America now is paying, already $120 billion, up to $200 billion before we're finished and much more probably	I believe the president broke faith with the American people in the way that he took this nation to war
__label__Support	It was part of our other economic plan	We also have capital gains now for people that invest in new small businesses and hold the investment for five years
__label__Support	where it appears to be growing, it's minimum-wage jobs	Right now we have a flat to deteriorating job base
__label__Support	I've been the chief executive officer of the second biggest state in the union	I have a proud record of working with both Republicans and Democrats, which is what our nation needs
__label__Support	he wasn't sure whether they were aligned with us	He even said the other day that he would not meet potentially with the prime minister of Spain
__label__Support	I think it's important to have what's called Immediate Helping Hand, which is direct money to states	seniors, poor seniors, don't have to choose between food and medicine
__label__Support	under his plan if you work out the numbers Â $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut	I donâ€™t think he will
__label__Support	The vice president has a long resume	His experience didn't prevent him from participating or involving or in some way being involved in the relationship between this government and Mr. Noriega and drug trafficking in Panama
__label__Attack	I don't believe the present administration has done that	There has been a restoration of faith and confidence and trust in the presidency
__label__Support	Obviously, as secretary of state, I had some of the most important secrets that we possess, such as going after Bin Laden	So I am very committed to taking classified information seriously
__label__Support	We need to insist that Arafat send out instructions to halt some of the provocative acts of violence that have been going on	The first priority has to be on ending the violence, dampening down the tensions that have arisen there
__label__Support	The important thing for us to remember is that we're a democracy and we're defended by volunteers	we undermine that morale
__label__Support	let me lay out for you my own strategy for bring that deficit down	we've got to invest in economic growth in this country
__label__Support	Why is the Japanese business organization -- the largest one they have, the Ki Den Ren (phonetic), arguing for tougher environmental standards than those embodied in US law?	Why is MITI -- their trade organization -- calling on all Japanese corporations everywhere in the world to exceed by as much as possible the environmental standards of every country in which they're operating?
__label__Attack	The Strategic Arms Reduction Talks were good proposals	it's the Soviets who left the table
__label__Support	we've got to have more help from our friends abroad	America has been carrying a tremendous load in this respect
__label__Support	I was part of that	I know what happened
__label__Support	We've been there also so that connection was important	But even more important is that worldview that I share with John McCain
__label__Support	we're bringing GDP from, really, 1 percent, which is what it is now	I say they're wrong
__label__Support	that cost us revenue	You might remember the stock market started to decline dramatically six months before I came to office, and then the bubble of the 1990s popped
__label__Support	I worked with Connie Mack on foreign policy	I certainly think that would be an asset that I could bring to the vice presidency should I be fortunate enough to be elected
__label__Support	we know what the fixes are	We know what the problems are
__label__Support	going back to Libya -- because this is an example of how we make choices	we were able to immediately stop the massacre there
__label__Support	was a program under this administration	the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious
__label__Support	I think we need to continue to be uh - strong and uh - I would certainly uh - pursue the uh - normalization of uh - relationships with the People's Republic of China	that communique, calls for the normalization of relations between the United States and the People's Republic
__label__Support	Why do they have to say we’re going to be attacking Mosul within the next four to six weeks, which is what they’re saying	Why can’t they do the attack, make it a sneak attack, and after the attack is made, inform the American public that we’ve knocked out the leaders, we’ve had a tremendous success
__label__Attack	I'm not going to let you lay on me the intrusion of state politics into religion or religion into politics by my comments with reference to the president's policies	What has happened over the past four years has been I think a real fudging of that line with the separation of church and state
__label__Support	we should be that	We are the sole remaining superpower
__label__Support	We've got five hundred thousand more Americans out of jobs today than were out of work three months ago	The best thing to do is to look at the record uh - of Mr. Ford's Administration and Mr. Nixon's before his
__label__Support	we may find out more information	we've got to do everything we can to vacuum up intelligence from Europe, from the Middle East
__label__Equivalent	On the question of the summit, I agree with the position of Mr. Nixon	I have no disagreement with the Vice President's position on that
__label__Attack	It's stuck in the Senate	He and his running-mate didn't show up to vote when they could have got it going in the Senate
__label__Support	I think one of the ways we've been able to be so successful in Kosovo and Bosnia and Haiti and in other places is by having the technological edge	I think that would be a mistake
__label__Support	I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go	my view is, sir, you have to increase investment, grow the economy and reduce the deficit by controlling health care costs, prudent reductions in defense, cuts in domestic programs and asking the wealthiest Americans and foreign corporations to pay their fair share of taxes and investing and growing this economy
__label__Attack	I disagree with this notion that somehow we did not forcefully object to Russians going into Georgia	He doesn't understand that Russia committed serious aggression against Georgia
__label__Support	9/11, Senator Joe Lieberman and I decided that we needed a commission	we got that legislation passed
__label__Support	He, unlike my opponent, is an expert in national defense	I have great confidence in him
__label__Support	I have brought into the top level, top levels of government, into the White House, into administrative offices of the Executive branch, into the judicial system, highly qualified black and Spanish citizens and women who in the past had been excluded	It's very important to us that this be done with the full involvement of minority citizens
__label__Support	President Clinton apologized in Houston for saying, whoops, I raised your taxes and they're too high	They can't go too low
__label__Support	Milosevic's government refuses to release the vote count	There's now a general strike going on
__label__Support	I'm optimistic about the agricultural economy	I think were on the right track in agriculture and I am very very encouraged
__label__Support	it's not affordable	I get rid of is Obamacare
__label__Support	We're going to make it affordable and accessible	I have a plan to cover all Americans
__label__Support	Our bill was far more effective	Mr. Nixon has stated the record inaccurately in regard to the depressed area bill
__label__Support	I pray for strength. I pray for wisdom. I pray for our troops in harm's way. I pray for my family. I pray for my little girls.	my faith is a very -- it's very personal
__label__Support	We cut the deficit by 60 percent	let's balance the budget and protect Medicare, Medicaid, education and the environment
__label__Support	I want them to say these were the years when the tide came in; these were the years when the United States started to move again.	it is to that great task, if we're successful, that we will address ourselves.
__label__Support	we can't keep on borrowing from the Chinese and sending money to Saudi Arabia	We are going to have to deal with energy
__label__Attack	If you don't understand what the cause is, it's virtually impossible to come up with a solution	And, look, this probably explains the biggest fundamental difference between John McCain and Barack Obama and Sarah Palin and Joe Biden -- Governor Palin and Joe Biden
__label__Support	I'm giving you health care	Ninety-eight percent of America, I'm giving you a tax cut
__label__Support	a grand jury that reviews the evidence	I trust our justice system
__label__Attack	That's not true	my opponent was unwilling to support that action
__label__Support	I believe that uh - our foreign policy must express the highest standards of morality	we will do it with the highest moral principles
__label__Support	the Afghan people had elections this weekend	Freedom is on the march
__label__Attack	They're not going to follow an American president who says follow me into a mistake	Risk your troops in a war you've called a mistake
__label__Support	we ought to sell arms to Iran for its own national security, and as an ally - a strong ally of the United States	I believe that it's in our interest and in the interest of Israel and Iran, and Saudi Arabia, for the United States to sell arms to those countries
__label__Support	They would not allow the government to use its negotiating power to get discounts for seniors	We're going to allow it
__label__Support	I think the governor may not have heard what I said clearly	I do have mandatory testing
__label__Support	you're going to have a whole brand new bunch of people in the Congress that are going to have to listen to the same American people I'm listening to	I believe we can get it done now, whereas we didn't in the past
__label__Support	We cannot slow up on education	we are going to, in fact, eliminate those wasteful spending that exist in the budget right now
__label__Support	the Treasury should demand that money back and those executives should be fired	that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors
__label__Support	I think there are better and more effective ways to deal with violent crime	I think you know that I've opposed the death penalty during all of my life
__label__Support	I'm so glad that I have the chance to knock that down	Absolutely not
__label__Support	we have to look at this comprehensively	So we’ve got to do something for them
__label__Attack	nuclear weapons require a nuclear arms control regime	John McCain voted against a Comprehensive Nuclear-Test-Ban Treaty that every Republican has supported
__label__Support	I think the Kerry-Edwards approach basically is to raise taxes and to give government more control over the lives of individual citizens	We think that's the wrong way to go
__label__Support	It would be catastrophic if the chairman of the Federal Reserve Board became the tool of the political uh - party that was in power	The chairman of the Federal Reserve Board should be independent
__label__Attack	Bill Clinton and I will target America from day one	Mr. Baker, who's quite a capable man, said that for these last 4 years George Bush was working on the problems of the rest of the world and in the next 4 years he would target America
__label__Support	Governor Clinton says $200,000 but he also says he wants to raise $150 billion	Taxing people over $200,000 will not get you $150 billion
__label__Support	See that the young people of America, particularly, have faith in the ideals of freedom and faith in God, which distinguishes us from the atheistic materialists who oppose us	keep America's faith strong
__label__Support	we've got to get the job done	I want to get the deficit down by controlling the growth of mandatory spending
__label__Support	even though I've been the person that they're speaking up about	l feel they do have the responsibility to do so
__label__Equivalent	They’re all different.	Every state is different.
__label__Support	He'll tell you about vouchers	They haven't put a credible solution on the table
__label__Support	"I was in Dayton, Ohio, and a woman grabbed my arm and she said, ""I've been out of work since May. Can you help me?"""	"Ann yesterday was at a rally in Denver and a woman came up to her with a baby in her arms and said, ""Ann, my husband has had four jobs in three years, part-time jobs. He's lost his most recent job and we've now just lost our home. Can you help us?"""
__label__Support	the president is just trying to scare everybody here with throwing labels around	labels don't mean anything
__label__Support	we are not going to raise taxes to create new jobs	we have a plan to create new jobs
__label__Support	It also could be somebody sitting on their bed that weighs 400 pounds	I don't—maybe it was
__label__Equivalent	I'm pledged to do that	I'm pledged to that
__label__Support	He changes positions on something as fundamental as what you believe in your core, in your heart of hearts, is right in Iraq	he changes positions on the war in Iraq
__label__Support	just like a family has to prioritize	We're going to have to prioritize
__label__Attack	There are 6 million more people who have jobs and that's supposed to happen in a growing economy.	People are going back to work; 6 million of them.
__label__Support	I've been in thirty primaries during the springtime	I've made some mistakes
__label__Support	there's no market forces involved with health care	there's a systemic problem
__label__Support	those of us who are elected to positions of political leadership have to reflect those values ourselves	Values begin at the top, in the White House
__label__Support	no discussion of it	This is an issue they've brought up
__label__Support	We threw out that old CETA that didn't train people for jobs that existed, simply rammed them onto the government payroll	Wonderful new legislation that's helping blacks more and more.
__label__Support	I'm a big proponent of clean coal technology	I'm a good steward of the land
__label__Support	when I used to go home my mother would tell me all I've got is my Social Security, don't touch it	we didn't touch it
__label__Support	I became president at the time that the United States was in a very troubled time	I have found from experience that it's much more difficult to make those decisions than it is to second-guess them
__label__Support	Mr. Vice President, we were attacked	I would argue we've already been attacked
__label__Attack	it's extremely difficult to make that judgment	I believe that when you get into a w- if you're going to get into war for the defense of Formosa, it ought to be on a clearly defined line
__label__Support	There was	there was a penalty that was imposed by Palm Beach County, and the money came from your foundation
__label__Support	the fact is that the president felt that it was important to make it clear that that's the wrong way to go, as far as he's concerned	I support the president
__label__Support	they want the economy to work and the world to be free and open	that is they want a stable world
__label__Support	about creating jobs	that's what my campaign is about
__label__Support	the inspector general of the Justice Department found that John Ashcroft had twice applied it in ways that were inappropriate	A whole bunch of folks in America are concerned about the way the Patriot Act has been applied
__label__Support	It would be very disturbing to American people	If President Brezhnev said, we will scrap this treaty, negotiated under three American Presidents over a seven-year period of time, we insist upon nuclear superiority as a basis for future negotiations, and we believe that the launching of a nuclear arms race is a good basis for future negotiations, it's obvious that I, as President, and all Americans, would reject such a proposition
__label__Support	My view is that you can do these programs - and they should be carefully drawn - within a balanced budget if our economy is moving ahead	That is not my view and I think it ought to be stated very clearly on the record.
__label__Support	I had to assemble the president's advisers	I talked to President Aquino
__label__Support	I think that uh - the tide could begin to run against us.	the agenda for our people - what we must do as a society to meet our needs in this country and protect our security and help the cause of freedom.
__label__Attack	Anyone I think who can cut off funding for the troops after promising not to is another story	I have great respect for your family also and the honor that you show our military
__label__Support	Emphasize and subsidize modernizing plant and equipment here, not moving plants overseas	change the tax code
__label__Support	The United States of America took the initiative in southern Africa	The United States is trusted by other elements in southern Africa
__label__Support	We want accountability	We think we know how to do it
__label__Attack	there are opportunities there now	We have serious differences with the Soviet Union
__label__Support	we can't drill our way out of the problem	I've focused on putting resources into solar, wind, biodiesel, geothermal
__label__Support	That's exactly where we find ourselves today	There's a sense of American occupation
__label__Attack	That’s where the vast majority of people get their health care	we are in a situation in our country where if we were to start all over again, we might come up with a different system
__label__Support	I have long ago said I supported the president on this other matter	But the point is sometimes the action- (Laughter)   BUSH: - has to be taken by the Federal Government and when we took action, it had a favorable response
__label__Support	I don't think that's in our nation's interests	I'm concerned that that will get overturned
__label__Support	what he said was: The United States has been embarrassed for the last time	We're going to stand tall and if this ever happens again, there's going to be swift and immediate steps taken to address the wrong that our country has founded - has suffered
__label__Support	it is personal	I don't think that you make an exception based on medical knowledge at the time
__label__Support	you don't have these endless appeals	I have been fighting for very strong anti-crime legislation -- habeas corpus reform
__label__Support	I agree with Mr. Bush that values are important.	my plea to the American people is values in the schools
__label__Support	His economic agenda, more spending, more borrowing, higher taxes, a government takeover of health care. It's not working	This is not what a real recovery looks like
__label__Support	we have to work out of so that surplus is building up	By the time the century turns, we have got to have our deficit under control
__label__Support	We must not build up the hopes of the world and then dash them as was the case in Paris	I would not be able wou- would be willing to meet with him however, unless there were preparations for that conference which would give us some reasonable certainty - some reasonable certainty - that you were going to have some success
__label__Support	Because of paperwork and regulation	We're going to have regulatory
__label__Support	I want to see growing peace in this country	It's our objective
__label__Support	Of the 3 of us, I have balanced a government budget 12 times	It can be done
__label__Support	not wealthy enough to buy their medicine	When we talk about cutting health care costs, let's start with the insurance companies and the people that are making a killing instead of making our people healthy
__label__Support	taking that one no from the Soviet Union, we then went back into negotiations on their terms	The Soviet Union sat at the table knowing that we had gone forward with unilateral concessions without any reciprocation from them whatsoever
__label__Support	we have a duty to our country and to future generations of America to achieve a free Iraq, a free Afghanistan, and to rid the world of weapons of mass destruction	It's necessary we win
__label__Support	Texas ranks 49th out of the 50 states in health care -- in children with health care	there is a record here
__label__Support	the fact of it is we're so far away from research that even comes close to that	to commit this nation to a buildup of antisatellite and space weapons at this time, in their crude state, would bring about an arms race that's very dangerous indeed
__label__Support	here's some trade adjustment assistance money for you to go a community college in your neighborhood	Got four more years, I've got more to do to continue to raise standards
__label__Attack	I never want to impose my religion on anybody else	my faith plays a lot
__label__Support	I support charter schools and pay for performance for teachers	I've got a history of reaching across the aisle
__label__Support	save money by helping hundreds of thousands of families on welfare to get off or welfare	to become productive citizens again
__label__Attack	he probably doesn't like this provision	It's about litigation reforms
__label__Support	we have to build up the wealth of our nation	we’re going to make America wealthy again
__label__Support	All you have to do is speak to them	I don't believe that Hillary has the stamina
__label__Support	I'm not going to give away a couple of aces I that very tough card game	I'm simply not going to do that
__label__Support	we're going to create a manufacturing jobs credit and a new jobs credit for people to be able to help hire and be more competitive here in America	there are a lot of ways to be competitive
__label__Support	Seven administrations were dealing with Mr. Noriega	It was the Reagan-Bush administration that brought this man to justice
__label__Support	that same strategy will be employed in Afghanistan by this great general	It was a strategy
__label__Support	I'm one who knew him well	I think you are so far apart in the objectives you choose for your country that I did not think the comparison was well-taken
__label__Support	I think the Communists have been moving with vigor - Laos, Africa, Cuba - all around the world today they're on the move	I think we have to revita1ize our society
__label__Attack	that is not good enough for this country	they think we're at our fullest capacity, that weâ€™ve reached our potential and 2.5 percent growth is enough for America
__label__Support	those are very disturbing to the American people	They wonder how an elected representative uh - can serve them and participate in such activities uh - serving in the Congress of the United States
__label__Attack	that is not the case	I'm used to people saying something that's not always true, but just keep on repeating it and ultimately hoping I'll believe it
__label__Support	Remember that.	We saved our oil industry
__label__Support	What I do believe is that we can find good, common ground on issues of parental consent or parental notification	I think a noble goal for this country is that every child, born or unborn, need to be protected by law and welcomed to life
__label__Attack	I'm surprised to hear him talk about records	Senator, frankly, you have a record in the Senate that's not very distinguished
__label__Support	what we can now do is free up some resources, to, for example, put Americans back to work, especially our veterans, rebuilding our roads, our bridges, our schools	making sure that, you know, our veterans are getting the care that they need when it comes to post-traumatic stress disorder and traumatic brain injury
__label__Support	We - uh believe that uh you can revise the federal criminal code	We believe that we can uh do a better job in the area of crime
__label__Support	He's vetoed three of them	We wouldn't be outsourcing our foreign policy to the United Nations giving Vladimir Putin veto power over our efforts to try and deal with this issue
__label__Attack	I think it is a deterrent	I don't see any evidence that it's a deterrent
__label__Support	It's our job to fix the problem	I have a plan to fix this problem
__label__Support	if you kept the same fee for service that you have now under Medicare	your premiums would go up by between 18% and 47%
__label__Attack	I, first of all, oppose an election year tax cut	the printing presses will start to roll
__label__Support	we are going to invest in issues that -- that relate to how ordinary people are able to live out their dreams	that is something that I'm going to be committed to as president of the United States
__label__Support	science is important, but so is ethics	I made the decision we wouldn't spend any more money beyond the 70 lines, 22 of which are now in action
__label__Support	In what order would you put them in terms of priorities	health care, energy, and entitlement reform
__label__Support	We want to give them the opportunity to make those kinds of choices for themselves and we think this is a totally reasonable approach	We think it is appropriate to return to the American people
