head,relation,tail
"you yourself said to khrushchev, ""you may be ahead of us in rocket thrust but we're ahead of you in color television"" in your famous discussion in the kitchen",support,i believe the soviet union is first in outer space
they're moving about eight or nine days in texas,is a,premise
i will keep on as president trying to get a successful conclusion to the gatt round,is a,claim
we're having trouble meeting recruiting goals,is a,claim
"well, why did john vote 20 times?",said in,02-10-2008
when a narcotics wrapped up guy goes in and murders a police officer,said in,25-09-1988
"they paid us back, and we got a dividend in the process",said in,09-10-1996
"mr. ford made up for it with three embargoes, one against our own ally in japan",said in,06-10-1976
"we built a new breed of human called an american - a proud, an independent., and a most compassionate individual, for the most part",is a,premise
which burns a lot cleaner,said in,05-10-1988
we've done it in arkansas,is a,premise
it's true,support,i know some people laugh about it when i talk about the breakdown of the family
you can't engage in some of this risky behavior that is putting main street at risk,said in,03-10-2012
today el salvador is a whale of a lot better,support,the power of that concept is enormous
our housing programs have uh - gone bad,is a,claim
we can fight this war,support,we can win this war
the issues in this campaign are the war-peace issues,is a,claim
"the reason he changed his mind was, in part, because he was seeking the endorsement of the national rifle association",support,i think governor romney was for an assault weapons ban before he was against it
"the japanese, the british, the french do it",support,we can reprocess the spent nuclear fuel
"to reduce the backlog, make it easier, simpler and cheaper for people who are waiting in line, obeying the law to make sure that they can come here and contribute to our country",said in,16-10-2012
"for instance, in the transportation department uh we had uh - we cut back about 25 percent of the total number of employees",is a,claim
let me just tell you who the jury is,is a,premise
we have to do that now,said in,26-09-2008
"that means being smart about allowing people to be fully educated, to know what their options are in life",support,"i believe that you can take that position and not be pro- abortion, but you have to afford people their constitutional rights"
i think the atomic energy committee is prepared for it,said in,21-10-1960
it is actually a disagreement between us,support,"a national law that is pending on this, the dingle-norwood bill, a bipartisan bill, is one that i support and that the governor does not"
"ninety-eight percent of america, i'm giving you a tax cut",said in,08-10-2004
i think there's an optimism in the land and a patriotism,support,i think we've given the american people back their spirit
"unless we're ready to carry out programs like that in the sixties, this battle for economic survival which these people are waging are going to be lost",said in,07-10-1960
i don't believe that we need to do what you've suggested here,is a,premise
"as a result, the families of some of our young servicemen are on food stamps today",attack,it's shameful
you can't let public persuasion sway you,is a,premise
he has every right to exercise his passion,is a,claim
"if the wrong guy is put to death, then that's a double tragedy",attack,i support the death penalty
everybody that pays taxes is going to get tax relief,is a,claim
that means we have to stand up for the american farmers and that cuts back on the regulation on american farmers,said in,05-10-1988
"i wouldn't pick a judge who said that the pledge of allegiance couldn't be said in a school because it had the words ""under god"" in it",said in,08-10-2004
i have lived the american dream,is a,premise
i'm prepared,is a,claim
"i believe that this president, regrettably, rushed us into a war, made decisions about foreign policy, pushed alliances away",is a,claim
i believe there's fundamental fairness crying out that needs to be achieved in our tax system,is a,claim
as senator kennedy points out that as far as his one proposal is concerned - the one for medical care for the aged - that that would be financed out of social security,is a,claim
"they supported the troops; and then while our troops were on the ground in iraq and afghanistan, they went to the congress and lobbied to have their combat pay cut",said in,05-10-2004
"if we could develop a principle that would say both sides could fire all their missiles and no one would get hurt, i suppose it's a good idea",said in,21-10-1984
i hope he would grant me the same,said in,26-09-1960
i also believe that everybody should have a fair shot and everybody should do their fair share and everybody should play by the same rules,is a,claim
marijuana use is up 141percent,is a,claim
let me tell you what they're feeling,is a,claim
i've got 5.5 million hard-working people who put me on the ballot,is a,claim
he would actually have to cut government spending by at least $130 billion in order to balance the budget under this ridiculous proposal,is a,claim
"we have to remember that the cold war that mr. khrushchev is waging and his colleagues are waging, is waged all over the world and it's waged right here in the united states",is a,premise
removing educational benefits for dependents whose widows were trying -- with widows trying to get them through college,is a,claim
i don't think that can be better illustrated than in the case of guaranteeing women equal rights under the constitution of our nation,is a,premise
"i think the record should show, mr. newman, that uh - the bureau of census - we checked it just yesterday - indicates that uh - in the four years that uh - governor carter was governor of the state of georgia, uh - expenditures by the government went up over 50 percent uh - employees of the government in georgia during his term of office went up over 25 percent",support,"i think our record of cutting back employees, plus the failure on the part of the governor's programs to actually save employment in georgia, shows which is the better plan"
they are historic,is a,claim
"in the balkans we have allies, nato, ready, willing and able to go and carry a big part of the burden",is a,premise
we can't do that,equivalent,"we can't simply we've got enough nuclear weapons, let's freeze"
"i would say if you want to continue as most favored nation status for your government owned industries as well as your private ones, observe human rights in the future",said in,11-10-1992
nobody likes taxes,said in,15-10-2008
"have i made a difference in the united states senate where i've served for eight years? yes, i have",is a,claim
there was still some slight difference there between those two lines,is a,claim
devastated states like california and others,said in,06-10-1996
it will come from the pockets of the people,is a,claim
we're going to enforce the trade deals we have,support,i'm going to have a special prosecutor
we shouldn't be doing any favors for north korea,said in,06-10-1996
i am for clean water,is a,claim
who were starting to really kind of rear that head of abuse,is a,claim
"a growing, expanding job base to generate the funds and the tax revenues to pay off the mess and rebuild america",said in,15-10-1992
they have to balance their budgets,is a,claim
"i don't intend to see to it that the united states is ever in a position where, while we're negotiating with the soviet union, that we discontinue our intelligence effort",is a,claim
"we do support making sure that committed couples in a same-sex marriage are guaranteed the same constitutional benefits as it relates to their property rights, their rights of visitation, their rights to insurance, their rights of ownership as heterosexual couples do",said in,02-10-2008
i support him in everything else,is a,claim
i think we're very close to getting that job done,said in,11-10-1984
"the average working person can't - uh - can't take advantage of that, but the - the wealthier people - uh can",said in,23-09-1976
i have favored our programs abroad for economic assistance and for military assistance,said in,13-10-1960
"on the tax cut, it's a big decision",said in,08-10-2004
i have fought to reduce the earmarks and eliminate them,said in,07-10-2008
"he believes, like i believe, that the iraqis are ready to fight for their own freedom",said in,30-09-2004
lost more in august than we lost in july,said in,05-10-2004
democrats and republicans said bob dole's word is good,is a,claim
he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills,said in,25-09-1988
"e've seen almost a complete breakdown in the proper relationship between the president, who represents this country, and the congress, who collectively also represent this country",is a,claim
"i must stop short of using american force until i know how those young men and women are going to get out of there as well as get in, know what the mission is, and define it",said in,11-10-1992
we believe that we had also promised that we would make our country more secure,said in,07-10-1984
"i mean, it could be russia, but it could also be china",said in,26-09-2016
"we reduced, in proportion of other states, the per capita spending, the per capita size of government",is a,premise
"it's not taking anything away from schools, it's new money",support,"it's not being taken away from anybody else, except we'll downsize the department of education"
they're illegal,is a,claim
i've made no judgment about who should be secretary of state,is a,premise
it's a nonsensical position that we are in,said in,02-10-2008
"after 9/11, we had to recognize that when we saw a threat, we must take it seriously before it comes to hurt us",is a,premise
they left the planning of the state department in the state department desks,is a,claim
we think that's pretty good progress,said in,07-10-1960
unless the united states begin to move here - unless we start to go ahead - i don't believe that we're going to meet our responsibility to our own people or to the cause of freedom,said in,07-10-1960
i'm so proud of what she accomplished in getting them on there,is a,claim
i do not want to go the tax-and-spend route,is a,claim
he is the person who raised taxes on the middle class after saying he wouldn't,support,my view is the middle class is the -- they've been suffering
everybody says you can't do that with congress,is a,claim
e will have solved many of the internal domestic problems that exist in south korea at the present time,is a,premise
i believe in free and fair trade,support,i don't
i don't admire fidel castro at all,said in,21-10-1984
we don't need mass armies anymore,is a,claim
i love solar,said in,22-10-2020
terrorism is a global problem,support,they're going to do crazy things and you just don't know what's going to happen
that's where we can be,said in,02-10-2008
everybody that pays taxes is going to get tax relief,said in,17-10-2000
"the mixed message, the ambiguities of u.s. foreign policy, uh are -- i believe, and bob dole believes, is causing not only problems for this country throughout the world, but particularly here at home",is a,claim
that's what we get in this administration -- speeches,is a,claim
it is a school full of so-called at-risk children,support,it's how we unfortunately label certain children
i think it's a moral issue,said in,03-10-2012
"three weeks in iraq; seven years, seven years or six-and-a-half years in afghanistan",said in,02-10-2008
"we are going to be choosing a president who will set policy for not just four or eight years, but because of some of the important decisions we have to make here at home and around the world, from the supreme court to energy and so much else, and so there is a lot at stake",is a,claim
i fear a return to the policies of those years should you win this election,is a,premise
i want workers to have their own assets,support,"it's who you trust, government or people"
we have reduced the size of the federal government to its smallest size in 30 years,said in,06-10-1996
"i want younger workers to be able to manage some of their own money, some of their own payroll taxes in the private sector under certain guidelines to get a better rate of return on your own money",said in,03-10-2000
it will slow down the economy,said in,11-10-1992
"if the purpose of the tax code is to raise revenue. we ought to think, as john f. kennedy did, about lowering the rates",support,they can't go too low
the united states should meet its commitments to que- to uh - formosa and the pescadores,is a,claim
"it literally says to the communities, re-invent the schools, not just the bricks and mortar but the curriculum and everything else",said in,15-10-1992
"certainly we can find a coffeepot that costs something less than $7,000",support,the rate of defense spending increase can be slowed
i've fought higher taxes,is a,claim
we've got a plan to move 1 million more off welfare during the next four years,is a,claim
he was in the minority was one which rejected his position,said in,13-10-1960
we agreed to a mutual cap on the ballistic missile launchers at a ceiling of twenty-four hundred,is a,premise
"the issue of nationalism - the recognition, he says, that every major problem confronting us is global, and cannot be solved by nationalism here or elsewhere - that is chauvinistic, that is parochial, that is as anachronistic as states' rights was in the days of jefferson davis",support,"those are some of the great issues - atomic warfare, the use of our natural resources, and the issue of nationalism - that i intend to be talking about in the remaining six weeks of this campaign"
they are still sending out videotapes,is a,premise
she called it the gold standard,said in,09-10-2016
"a woman came to me and she said, look, i can't afford insurance for myself or my son",is a,premise
you cannot reform education and improve it in this country without spending some money,is a,premise
"95 percent of the containers that come into the ports, right here in florida, are not inspected",is a,claim
tipper and i have worked on the problem of violence in entertainment aimed at children,said in,11-10-2000
the ban on partial birth abortion,is a,premise
i donâ€™t know where the vice president stands but thatâ€™s a renewable energy source of energy,support,we need to keep that in line
senator mccain is proposing -- and this is a fundamental difference between us -- $300 billion in tax cuts to some of the wealthiest corporations and individuals in the country,said in,26-09-2008
we are the greatest country on the face of the earth,is a,claim
the russians must understand that these kinds of actions and activities are not acceptable,is a,claim
you don't have to have a choice between the environment and jobs,is a,claim
"my first job as commander in chief, bob, is to keep the american people safe",support,that's what we've done over the last four years
now we have two major carrier task forces,is a,claim
"mitt romney was governor of massachusetts, where 87 percent of the legislators he served, which were democrats",attack,"that's coming from a republican congress working bipartisanly, 7 percent rating"
let's look at the vote on the congo,said in,13-10-1960
i fully understand the threat,said in,08-10-2004
"the line that should be drawn is whether we a, first of all have the capacity to do anything about it number one",said in,02-10-2008
"all economists say that if we did that, it would throw us into a deep recession or depression and put millions out of work",support,"that used to be an integral part of this so-called ""supply side economics,"" but it may be something else that he now agrees with bob dole on, because bob dole voted to take us off the gold standard, a wise vote in my opinion"
they can't be trained there,is a,premise
we are cracking down on ceos and making sure that they're not getting bonuses or golden parachutes as a consequence of this package,is a,claim
wouldn't it be nice to be perfect?,said in,25-09-1988
"if we want to talk about oil company profits, under your tax plan, john -- this is undeniable -- oil companies would get an additional $4 billion in tax break",is a,claim
"someone didn't meet exactly our standards of human rights, even though they were an ally of ours, instead of trying patiently to persuade them to change their ways, we have, in a number of instances, aided a revolutionary overthrow which results in complete totalitarianism, instead, for those people",said in,28-10-1980
we're going to restore the fiscal discipline we had in the 1990s,is a,claim
it's our whole lives,said in,07-10-1960
he would be there maybe with a nuclear weapon,is a,claim
i led the first bombing raid against north vietnam,said in,13-10-1992
go after those who would do us harm,said in,22-10-2012
i'm going to make it a priority,said in,11-10-2000
but our nuclear program has fallen way behind,attack,she talks tough against russia
"it's actually an accounting treatment, as you know, that's been in place for a hundred years",is a,claim
creating 12 million jobs over the next four years,support,that's what our entire premise of our pro-growth plan for a stronger middle class is all about
milosevic's government refuses to release the vote count,support,there's now a general strike going on
i believe in its greatness,support,i believe in this country
"tell that to dana crist, tell it to van woods, tell it to the men and women i met in south central",attack,"to al gore and bill clinton that is somehow, trickle-down economics"
he says on the one hand i am for it and on the other hand i may be against it,said in,19-10-1992
we're reinventing the way osha does its job,support,we believe that there is a new approach
"i don't believe there's any burden, or any responsibility, that any american would not assume to protect his country, to protect our security, to advance the cause of freedom",is a,claim
"i want to appoint supreme court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench",said in,09-10-2016
"who will send programs to the congress in the first hundred days to deal with the critical issues that america is crying out for leadership on -- jobs, incomes, the health care crisis, the need to control the economy",support,i think it's important to elect a president who is committed to getting this economy going again
"we now have an international treaty, the treaty that is commonly referred to as the montreal treaty",said in,05-10-1988
we said exactly what the intelligence community told us that they knew,is a,premise
somewhere out there there's an extraterrestrial that's doing this to us,is a,premise
we’re going to make sure we reduce the premiums and reduce drug prices by making sure that there’s competition that doesn’t exist now,support,allowing medicare to negotiate drug prices with the insurance companies
"i was in uh - thirty primaries in the spring, and uh - at first it was obvious that i didn't have any standing in the poll",support,"the polls to me are interesting, but they don't determine, you know, my hopes or - or my despair"
there's no way that we can build all of the weapons the vice president says he wants to build within the defense budget,said in,13-10-1988
i want to continue to work after we get this nafta agreement ratified this coming year,is a,premise
"a nation that has serious threats from terrorist groups within its nation, as i indicated before, the taliban, haqqani network",support,it's not time to divorce
we will never allow a woman's right to choose to be taken away,support,what is really at stake here is whether or not women will have the right to choose
we were going to make sure that we finished the job,said in,22-10-2012
deregulation as a form of political philosophy is a good philosophy,said in,05-10-1988
"if you want to get off medicare, get back in the mainstream, we're going to provide jobs",is a,claim
i think that that is the kind of investment where the federal government can help,is a,premise
the nature of our military's changed,support,"the question is not a game of battleship, where we're counting slips"
"and not only are your rates going up by numbers that nobody’s ever believed, but your deductibles are going up, so that unless you get hit by a truck, you’re never going to be able to use it",is a,claim
"the proposal to cut medicare that senator dole pushed before, and shut down the government to try to enact, would have already raised by $268, the fees paid by the average couple now on medicare",is a,premise
i have proposed that the program we must treat with that particular problem,said in,07-10-1984
i think it is well to put in perspective where we really do stand with regard to the soviet union in this whole matter of growth,is a,claim
"i see the middle east with a rising tide of violence, chaos, tumult",said in,22-10-2012
i think it's wrong to demonstrate against your own country or organize demonstrations against your own country in foreign soil,is a,premise
now less than a third of our people can afford to buy their own homes,said in,22-10-1976
they hit middle- and moderate-income americans and leave wealthy americans largely untouched,is a,claim
"as admiral yarnell has said, and he's been supported by most military authority",said in,13-10-1960
this is how i'm going to get it done,is a,premise
they've lost sources of tax revenue,support,they're facing a financial and social crisis
these were people that wanted a revolution,said in,11-10-1984
"in california, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull",support,isn't it strange that that same woman could have taken the life of her unborn child
"i agree with secretary arne duncan, he's -- some ideas he's put forward on race to the top, not all of them, but some of them i agree with and -- and congratulate him for pursuing that",is a,claim
we've been through a lot together as a country,is a,premise
we've got to introduce high technology into health care,is a,premise
that's to make sure the education system works,support,"when we find a problem, we spend extra money to correct it"
we stopped that plan before,said in,09-10-1996
the chemical weapon treaty to ban all chemical weapons,support,we have made proposals and proposals and proposals - sound proposals - on reducing nuclear weapons
i will hope that senator kennedy will change his mind if he should be elected,equivalent,i disagree completely with senator kennedy on this point
he apparently wants to spend billions on the mx on railroad cars,attack,a weapons system we don't need and can't afford
if my recollection is correct he indicated that uh - general brown was not qualified to be a sewer commissioner,said in,22-10-1976
al gore and i will do whatever is necessary to keep it that way,said in,05-10-2000
we committed ourselves to take strong action against terrorism,is a,premise
it's easy to talk about this stuff during a campaign,said in,07-10-2008
you made the comment that the gulf war coalition in '91 was far stronger than this,said in,05-10-2004
we recognize that,is a,claim
marijuana use is up 141percent,support,it seems to me what we need to do is to talk about not only tobacco but drugs
don't expect me to use the language of the washington insider,is a,premise
it's a tool that law enforcement now uses to be able to talk between each other,support,the patriot act is vital
i think it's clear that we're better off than we were four years ago,said in,06-10-1996
we are trying to help and i think we're doing a reasonable job,said in,11-10-1984
it's important to the world,is a,claim
i haven't heard how his policy in pakistan is going to be different than george bush's,said in,02-10-2008
i sat for as long as they had questions on the issue,said in,11-10-1984
we'd be in a stronger place today,is a,premise
we'll have a better trained workforce,is a,claim
that's what i've done in texas,is a,claim
"i think it is the government, and the government with its own restrictions and regulations, that is creating the energy crisis",said in,21-09-1980
i'm the first president ever to allow funding -- federal funding -- for embryonic stem-cell research,support,i too hope that we'll discover cures from the stem cells and from the research derived
"the only authority the vice president has from the legislative standpoint is the vote, only when there is a tie vote",support,the constitution is explicit
"with each one of those decisions that affect the future of my country, i have learned in the process",is a,claim
"reminds me of the line from the movie, ""show me the money."" which one of those promises will you keep and which will you break, governor?",is a,claim
"this is known oil reserves, known supplies",is a,premise
their stability and that they're on their way to a nation that's free,is a,claim
"if you look at his record, he doesn't display the qualities of somebody who has conviction",is a,claim
in our time at the frontier of that effort is extending those kinds of rights to gay and lesbian americans who are citizens of this country and children of the same awesome god just as much as any of the rest of us are,is a,claim
i have an obligation to fight to make sure there are no failing schools,is a,claim
you're going to have a whole brand new bunch of people in the congress that are going to have to listen to the same american people i'm listening to,said in,11-10-1992
we've seen progress even under republican control of the house of representatives,support,"part of being principled, part of being a leader is, a, being able to describe exactly what it is that you intend to do, not just saying, ""i'll sit down,"" but you have to have a plan"
i want to fight for you,is a,premise
"it's between a woman, god and her doctor",is a,claim
"the way we're going to reduce this budget deficit, and it is a challenge to make sure that it is reduce, is first to stick to the gramm-rudman targets",is a,premise
"i think the american people would like to understand fully, it's been investigated to a degree",is a,claim
it is also used to give your mothers and fathers the social security checks that they live on,is a,claim
i also personally took responsibility tonight when senator dole asked me about the drug problem,support,i think i should get some credit for that
i don’t apologize for it,is a,claim
"these islands are a few miles - five or six miles - off the coast of red china, within a general harbor area and more than a hundred miles from formosa",said in,07-10-1960
"by decreasing the cost of government to the place that we have balanced budgets, and are no longer grinding out printing press money, flooding the market with it because the government is spending more than it takes in",said in,28-10-1980
we have this incredible mess in iraq -- $200 billion,is a,claim
"i can't get treatment.""  so we have put all chips in, right there, and nobody is talking about losing this war",said in,26-09-2008
mr. ford convince the polish-americans and the czech-americans and the hungarian-americans in this country that those countries don't live under the domination and supervision of the soviet union behind the iron - uh - curtain,attack,"i don't believe, uh - mr. frankel that uh - the yugoslavians consider themselves dominated by the soviet union"
he'll do an outstanding job,is a,claim
there is no system,said in,13-10-2004
"9/11, senator joe lieberman and i decided that we needed a commission",is a,premise
"some of our finest presidents, some of our strongest international leaders were governors-franklin roosevelt, woodrow wilson, theodore roosevelt",is a,claim
there's no difference on that,said in,03-10-2000
"since we debated 2 weeks ago, the united states and the soviet union have built a hundred more warheads, enough to kill millions of americans and millions of soviet citizens",support,this doesn't strengthen us
i know it can work,is a,premise
"we can make changes in the way our culture works to help bring people away from violence and give them opportunity, and bring them in the american system",said in,16-10-2012
they're the fundamental aspect of america's economy,is a,claim
to see how we're doing things;,said in,26-09-1960
i think this must suggest something,is a,premise
i think that it's in better shape now than he generally does,said in,11-10-2000
i think my ideas are better for the future,is a,claim
tax cuts for the middle-class,is a,premise
that worldview that says that america is a nation of exceptionalism,support,but even more important is that worldview that i share with john mccain
i prepaid millions and millions of dollars in taxes,equivalent,"tens of millions of dollars, i prepaid"
"the only thing i knew to do was to get aid as quickly as possible with state and federal help, and to put my arms around the man and his family and cry with them",support,they are often on the front line of catastrophic situations
i feel very strongly about the people who go into battle for our country,is a,premise
"i'll do it by more drilling, more permits and licenses",is a,claim
it is personal,support,i don't think that you make an exception based on medical knowledge at the time
it's a state tax relief,support,it's a six-point package
you only get a tax cut in the clinton administration if you do exactly what al gore and bill clinton want you to do,is a,claim
we have to be the strongest economic power in the world,is a,claim
the kind of defense program that mr. carter wants will mean a weaker defense and a poor negotiating position,is a,claim
as the nation's only arctic state and being the governor of that state,said in,02-10-2008
i know it made a lot of difference many times in the congress,is a,premise
and barack obama at first said he would not do that,said in,02-10-2008
all of the loans have been paid back,is a,claim
only the us could do this,said in,15-10-1992
a charter school run by some people from teach for america,said in,03-10-2000
i think it's important,is a,claim
that is not so,said in,02-10-2008
"steps that in the years to come we see syria as a -- as a friend, and syria as a responsible party in the middle east",said in,22-10-2012
i'm not saying it's perfect,is a,premise
i hope that they put the troops on the ground,is a,premise
that was one of the problems that helped to create the circumstances in vietnam,is a,claim
it's been blocked in the senate,said in,05-10-2004
the diminished value of those homes and let people be able to make those,support,i would order the secretary of the treasury to immediately buy up the bad home loan mortgages in america
it isn't just naive,support,this is dangerous
it was ronald reagan who said that freedom is always just one generation away from extinction,said in,02-10-2008
"an armed, nuclear armed especially, iran is so extremely dangerous to consider",said in,02-10-2008
i would make the effort,equivalent,"make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels"
"using that base of strength, and using the idealism, the honesty, the predictability, the commitment, the integrity of our own country, that's where our strength lies",said in,06-10-1976
we just have a different point of view,is a,premise
strengthen the officials in this government that deal with undocumented workers,support,i have further strongly recommended that this administration do something it has not done
i do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program,equivalent,we also want our education to be free of federal control
we are committed to the environment,support,"believe me, we have a commit to preserving the environment"
that’s simply not true,said in,29-09-2020
"one of the areas, of course, is to eliminate our dependence on foreign oil",is a,claim
how is our credibility with the gcc countries on the western side of the gulf,is a,claim
i support school choice,said in,06-10-1996
i’m the least racist person in this room,said in,22-10-2020
it's an economic issue for women,is a,premise
we were going after big corporations,is a,claim
"i would call to your attention that in 1981 while we were operating still on the carter-mondale budget that we inherited -- that the interest rates came down from 21\1/2\, down toward the 12 or 13 figure",said in,07-10-1984
i will not support putting american soldiers into iraq as an occupying force,is a,claim
i think that all new teachers ought to be tested in the subjects that they teach,said in,03-10-2000
"one other thing that you didn't talk to them about, senator, and that is legal reform",is a,premise
i’ve gone head to head with putin and made it clear to him we’re not going to take any of his stuff,said in,29-09-2020
the reason it’s shut down is,said in,29-09-2020
"i am determined that if ever our men are called on, they should have the best that we can provide in the manner of tools and weapons",said in,07-10-1984
everyone talking about this matter of prolife,is a,claim
what really matters is what happens to your future,is a,premise
they said that they were going to fund their no child left behind; $27 billion short today,said in,05-10-2004
we moved rapidly,support,"i mean, we thought we'd whip more of them going in"
choose your plan,is a,claim
just like those young people who re-enlisted in baghdad,support,i know what thatâ€™s like when an army is defeated
this is a region in tumult,attack,we want -- we want to make sure that we're seeing progress throughout the middle east
it's not very distinguished,is a,claim
"that's the enemy that is now in 60 countries, with stronger recruits",support,that's the enemy that attacked us
they used those weapons against -- against their own citizens and killed americans with them,is a,premise
"we won that conflict in kosovo without losing a single human life in combat, a single american life in combat",is a,premise
more people qualify for them,is a,claim
"once it's a drug, does it apply only to teenagers or everybody in america",said in,16-10-1996
"all the committees, the attorney general, the special prosecutor, all of them have given me a clean bill of health",is a,claim
there is no way you can be strong militarily and have those kind of reductions in our military uh - appropriation,said in,06-10-1976
"on pay for teachers, on all these categories, arkansas is right near the very bottom",is a,premise
he allowed this flight to take place while the summit conference - or immediately before the summit conference occurred,said in,07-10-1960
there are 50 or 60 different options,support,it's obvious that there are certain things that have to be done
the farmers are the number one market for the automobile industry of the united states,said in,26-09-1960
we got that legislation passed,said in,26-09-2008
he cut 112 billion dollars,is a,premise
i don't want to see us make reckless cuts,said in,11-10-1992
he promised to end welfare as we know it,support,that is a record of promises made and promises kept
i believe i can,said in,17-10-2000
to join me in being vice president,support,i feel completely at ease knowing that someday senator mondale might very well be president
you can't have a strong economy without strong communities and strong families,support,bob dole wants to empower the public school districts and the teachers
we've had four years of policies being played out,support,none of it came on federal land
go forward as fast as we can,is a,claim
we need to move in a new direction,said in,15-10-2008
i'm going to stop the subsidy to pbs,is a,claim
"perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens",support,we are a nation that is seriously troubled
"17 new taxes, spend 1.5 trillion dollars, 50 new bureaucracies",is a,claim
we have to stand for human rights,said in,15-10-2008
"i can promise you that i will try not to, and hard",said in,11-10-2000
let's look at the other side of the coin,is a,premise
a man who can be provoked by a tweet should not have his fingers anywhere near the nuclear codes,said in,26-09-2016
"once you do this - follow this course of action - of indicating that you are not going to defend a particular area, the inevitable result is that it encourages a man who is determined to conquer the world to press you to the point of no return",is a,premise
weâ€™re the best and the most efficient farmers,said in,17-10-2000
"with regard to the assault on the catholic church, let me make it absolutely clear, no religious institution, catholic or otherwise, including catholic social services, georgetown hospital, mercy hospital, any hospital, none has to either refer contraception, none has to pay for contraception, none has to be a vehicle to get contraception in any insurance policy they provide",said in,11-10-2012
the special interests want those companies to leave,said in,26-09-2016
governor carter skims over a very serious and a very broad subject,is a,premise
he didn't go to war as a last resort,is a,premise
in april of j983 i was in beirut and visited the ambassador at the embassy,support,"two weeks later, that embassy was bombed"
this is an administration that's had no plan,said in,03-10-2000
i think it's very important to keep the debt going down and completely eliminate it,is a,claim
my father was a small-businessman,support,i have a different experience
i favor adoption,is a,claim
i always have difficulty recognizing my positions when they're stated by the vice president,is a,claim
i think that could help,is a,claim
"yes, i could",is a,claim
saddam hussein now sits in a prison cell,support,america and the world are safer for it
those requests were not honored,is a,premise
"that means going with proven, pro- growth policies that we know works to get people back to work",support,"it's about getting 12 million jobs, higher take-home pay, getting people out of poverty into the middle class"
he should understand that,is a,claim
"if you don't stop it in six months, we'll ask the federal trade commission to take action against you",said in,05-10-2000
we pull together,is a,claim
keep our commitment to the elderly and maybe down the line,said in,13-10-1988
i sustain the treaty,is a,claim
"top, top academic, good in every way",is a,claim
that was something that advanced the entire country,said in,16-10-2012
this is a global effort,is a,claim
we have a positive agenda on the environment,said in,09-10-1996
you are dead wrong,is a,premise
this is what our program is all about,is a,claim
"i think the president, again, still hasn't shown how he's going to go about it the right way",is a,claim
no basis for that,is a,claim
america has never gotten in a war because we were too strong,is a,claim
"i want a supreme court that will stick with roe v. wade and a woman’s right to choose, and i want a supreme court that will stick with marriage equality",said in,09-10-2016
"our commanding general in afghanistan said the surge principle in iraq will not work in afghanistan, not joe biden, our commanding general in afghanistan",is a,claim
america is not temporary; we're forever,support,"as americans, our generation should protect this wonderful land for our children"
i immediately said it was inappropriate,is a,premise
i want to keep it alive in child care and in other entitlements,is a,claim
have a bipartisan group look at what we have to do to save it when the baby boomers retire,is a,claim
making college debt-free so more young people can get their education,said in,26-09-2016
i think we ought to be forgiving third world debt under certain conditions,is a,premise
it's true that i say that you are going to have to make sure that your child has health care,said in,07-10-2008
we have to knock the hell out of isis,support,"i think we have to get nato to go into the middle east with us, in addition to surrounding nations"
"when we're spending $150 billion a year in interest alone on the national debt, much of it going to foreign bankers",is a,claim
it will not happen,attack,"which is a combination of the budget cuts the president has, as well as the sequestration cuts"
"22 million new jobs, very low unemployment nationally",is a,claim
there's been a million and a half this year,support,i don't take that lightly
all of which we see our foreign competitors having,is a,premise
we drove the russians out with -- the afghan freedom fighters drove the russians out of afghanistan,said in,07-10-2008
i know him better now,is a,premise
before our nation made a secret agreement,is a,premise
"we want for you america's greatest gift. and that is opportunity. and then, peace",support,it is absolutely essential that we guarantee the young people that they will not know the agony of war
that's what needs to happen,said in,11-10-2000
some people are going to need help,is a,claim
"the three men who murdered james byrd, guess what's going to happen to them? they're going to be put to death",is a,premise
"buffett took hundreds of millions of dollars, soros, george soros, took hundreds of millions of dollars",is a,claim
because of james byrd,support,there is pending now in the congress a national hate crimes law
look at that horrible—these are radical islamic terrorists,said in,09-10-2016
i think my programs are far less inflationary than those of governor reagan,is a,premise
"he writes polly williams, a democrat state legislator in milwaukee, wisconsin, saying i'm for choice in education",is a,claim
you didn't,support,you didn't tell the american people the truth
"i have recommended to the congress that we develop the uranium enrichment plant at portsmouth, ohio, which is a publicly owned - u.s. government facility and have indicated that the private program which would follow on in alabama is one that may or may not uhh - be constructed",is a,premise
"my life has been dedicated to equality of opportunity and our democracy should provide that, not equality of reward",support,my position on affirmative action has been clear ever since i left the professional football career for congress in 1970
"when you're the president of the united states, you have a public trust and you have to keep that public trust",said in,16-10-1996
"i've identified areas where we can, right away, make a change that i believe would actually help the economy",said in,03-10-2012
almost enough to buy a squadron of 716s,said in,05-10-1988
the poverty program we are going to concentrate on is creating jobs and opportunities,support,everyone will have the opportunities that they want
"there have been something like thirteen countries since we've come in move toward the democratic route, and let me say that grenada is not unrelated",is a,premise
